FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-02-24 4:21,33.93911,67.709953,172901,7574,,,Afghanistan,444.1519869,4.380541466
,,,Albania,2022-02-24 4:21,41.1533,20.1683,270734,3453,,,Albania,9407.672528,1.275421632
,,,Algeria,2022-02-24 4:21,28.0339,1.6596,264488,6816,,,Algeria,603.15099,2.577054536
,,,Andorra,2022-02-24 4:21,42.5063,1.5218,37901,151,,,Andorra,49053.25827,0.398406375
,,,Angola,2022-02-24 4:21,-11.2027,17.8739,98698,1899,,,Angola,300.301817,1.924051146
,,,Antarctica,2022-02-24 4:21,-71.9499,23.347,11,0,,,Antarctica,,0
,,,Antigua and Barbuda,2022-02-24 4:21,17.0608,-61.7964,7429,135,,,Antigua and Barbuda,7586.185769,1.817202854
,,,Argentina,2022-02-24 4:21,-38.4161,-63.6167,8868188,125775,,,Argentina,19621.7182,1.418271692
,,,Armenia,2022-02-24 4:21,40.0691,45.0382,417456,8378,,,Armenia,14087.85131,2.006918094
,,Australian Capital Territory,Australia,2022-02-24 4:21,-35.4735,149.0124,47247,33,,,"Australian Capital Territory, Australia",11036.44008,0.069845704
,,New South Wales,Australia,2022-02-24 4:21,-33.8688,151.2093,1285301,1871,,,"New South Wales, Australia",15832.72974,0.145569015
,,Northern Territory,Australia,2022-02-24 4:21,-12.4634,130.8456,37538,16,,,"Northern Territory, Australia",15284.20195,0.042623475
,,Queensland,Australia,2022-02-24 4:21,-27.4698,153.0251,549935,513,,,"Queensland, Australia",10750.36653,0.093283752
,,South Australia,Australia,2022-02-24 4:21,-34.9285,138.6007,139136,169,,,"South Australia, Australia",7921.206946,0.121463891
,,Tasmania,Australia,2022-02-24 4:21,-42.8821,147.3272,41903,24,,,"Tasmania, Australia",7825.023343,0.057275135
,,Victoria,Australia,2022-02-24 4:21,-37.8136,144.9631,1017972,2426,,,"Victoria, Australia",15354.25874,0.238316967
,,Western Australia,Australia,2022-02-24 4:21,-31.9505,115.8605,5069,10,,,"Western Australia, Australia",192.693682,0.19727757
,,,Austria,2022-02-24 4:21,47.5162,14.5501,2550371,14661,,,Austria,28317.3188,0.57485754
,,,Azerbaijan,2022-02-24 4:21,40.1431,47.5769,779783,9307,,,Azerbaijan,7690.793383,1.193537176
,,,Bahamas,2022-02-24 4:21,25.025885,-78.035889,33081,770,,,Bahamas,8412.248759,2.327620084
,,,Bahrain,2022-02-24 4:21,26.0275,50.55,501643,1444,,,Bahrain,29480.95979,0.287854111
,,,Bangladesh,2022-02-24 4:21,23.685,90.3563,1938135,28995,,,Bangladesh,1176.842711,1.496025819
,,,Barbados,2022-02-24 4:21,13.1939,-59.5432,54344,311,,,Barbados,18910.74604,0.572280289
,,,Belarus,2022-02-24 4:21,53.7098,27.9534,896319,6407,,,Belarus,9485.538696,0.714812472
,,Antwerp,Belgium,2022-02-24 4:21,51.2195,4.4024,529145,0,,,"Antwerp, Belgium",28479.49339,0
,,Brussels,Belgium,2022-02-24 4:21,50.8503,4.3517,410170,0,,,"Brussels, Belgium",33939.24249,0
,,East Flanders,Belgium,2022-02-24 4:21,51.0362,3.7373,451112,0,,,"East Flanders, Belgium",29775.11181,0
,,Flemish Brabant,Belgium,2022-02-24 4:21,50.9167,4.5833,323927,0,,,"Flemish Brabant, Belgium",28261.56564,0
,,Hainaut,Belgium,2022-02-24 4:21,50.5257,4.0621,414635,0,,,"Hainaut, Belgium",30845.28741,0
,,Liege,Belgium,2022-02-24 4:21,50.4496,5.8492,344365,0,,,"Liege, Belgium",31108.17422,0
,,Limburg,Belgium,2022-02-24 4:21,50.9739,5.342,248913,0,,,"Limburg, Belgium",28478.18426,0
,,Luxembourg,Belgium,2022-02-24 4:21,50.0547,5.4677,93213,0,,,"Luxembourg, Belgium",32747.91138,0
,,Namur,Belgium,2022-02-24 4:21,50.331,4.8221,160659,0,,,"Namur, Belgium",32500.68275,0
,,Unknown,Belgium,2022-02-24 4:21,,,52171,30076,,,"Unknown, Belgium",,57.6488854
,,Walloon Brabant,Belgium,2022-02-24 4:21,50.4,4.35,134818,0,,,"Walloon Brabant, Belgium",33403.94798,0
,,West Flanders,Belgium,2022-02-24 4:21,51.0536,3.1458,365913,0,,,"West Flanders, Belgium",30599.95183,0
,,,Belize,2022-02-24 4:21,17.1899,-88.4976,56450,648,,,Belize,14196.93628,1.147918512
,,,Benin,2022-02-24 4:21,9.3077,2.3158,26567,163,,,Benin,219.1418469,0.613543117
,,,Bhutan,2022-02-24 4:21,27.5142,90.4336,10514,6,,,Bhutan,1362.601929,0.057066768
,,,Bolivia,2022-02-24 4:21,-16.2902,-63.5887,891851,21406,,,Bolivia,7640.270576,2.400176711
,,,Bosnia and Herzegovina,2022-02-24 4:21,43.9159,17.6791,369870,15380,,,Bosnia and Herzegovina,11273.72315,4.158217752
